edge(s104t3word53,V2)	-edge(s104t3word53,s104t1word355)	+edge(s104t3word53,s104t2word682)	-edge(s104t3word53,s104t4word43)	-edge(s104t3word53,s104t5word683)	-edge(s104t3word53,s104t6word5)
edge(s104t4word43,V2)	-edge(s104t4word43,s104t1word355)	-edge(s104t4word43,s104t2word682)	-edge(s104t4word43,s104t3word53)	+edge(s104t4word43,s104t5word683)	-edge(s104t4word43,s104t6word5)	-edge(s104t4word43,s104t7word102)	-edge(s104t4word43,s104t8word62)	-edge(s104t4word43,s104t9word63)
edge(s104t5word683,V2)	-edge(s104t5word683,s104t2word682)	-edge(s104t5word683,s104t3word53)	-edge(s104t5word683,s104t4word43)	+edge(s104t5word683,s104t6word5)	-edge(s104t5word683,s104t7word102)	-edge(s104t5word683,s104t8word62)	-edge(s104t5word683,s104t9word63)	-edge(s104t5word683,s104t10word26)
edge(s104t6word5,V2)	-edge(s104t6word5,s104t5word683)	-edge(s104t6word5,s104t7word102)	-edge(s104t6word5,s104t8word62)	+edge(s104t6word5,s104t9word63)	-edge(s104t6word5,s104t10word26)	-edge(s104t6word5,s104t11word92)	-edge(s104t6word5,s104t12word684)	-edge(s104t6word5,s104t13word43)
edge(s104t7word102,V2)	-edge(s104t7word102,s104t4word43)	-edge(s104t7word102,s104t5word683)	-edge(s104t7word102,s104t6word5)	+edge(s104t7word102,s104t8word62)	-edge(s104t7word102,s104t9word63)	-edge(s104t7word102,s104t10word26)	-edge(s104t7word102,s104t11word92)	-edge(s104t7word102,s104t12word684)
edge(s104t8word62,V2)	-edge(s104t8word62,s104t5word683)	-edge(s104t8word62,s104t6word5)	-edge(s104t8word62,s104t7word102)	+edge(s104t8word62,s104t9word63)	-edge(s104t8word62,s104t10word26)	-edge(s104t8word62,s104t11word92)	-edge(s104t8word62,s104t12word684)	-edge(s104t8word62,s104t13word43)
edge(s104t9word63,V2)	-edge(s104t9word63,s104t1word355)	-edge(s104t9word63,s104t2word682)	+edge(s104t9word63,s104t3word53)	-edge(s104t9word63,s104t4word43)	-edge(s104t9word63,s104t5word683)	-edge(s104t9word63,s104t6word5)	-edge(s104t9word63,s104t7word102)
edge(s104t10word26,V2)	-edge(s104t10word26,s104t7word102)	-edge(s104t10word26,s104t8word62)	-edge(s104t10word26,s104t9word63)	+edge(s104t10word26,s104t11word92)	-edge(s104t10word26,s104t12word684)	-edge(s104t10word26,s104t13word43)	-edge(s104t10word26,s104t14word5)	-edge(s104t10word26,s104t15word484)
edge(s104t11word92,V2)	-edge(s104t11word92,s104t5word683)	-edge(s104t11word92,s104t6word5)	-edge(s104t11word92,s104t7word102)	-edge(s104t11word92,s104t8word62)	+edge(s104t11word92,s104t9word63)	-edge(s104t11word92,s104t10word26)	-edge(s104t11word92,s104t12word684)	-edge(s104t11word92,s104t13word43)
edge(s104t12word684,V2)	-edge(s104t12word684,s104t7word102)	-edge(s104t12word684,s104t8word62)	-edge(s104t12word684,s104t9word63)	-edge(s104t12word684,s104t10word26)	+edge(s104t12word684,s104t11word92)	-edge(s104t12word684,s104t13word43)	-edge(s104t12word684,s104t14word5)	-edge(s104t12word684,s104t15word484)
edge(s104t13word43,V2)	-edge(s104t13word43,s104t10word26)	-edge(s104t13word43,s104t11word92)	-edge(s104t13word43,s104t12word684)	+edge(s104t13word43,s104t14word5)	-edge(s104t13word43,s104t15word484)	-edge(s104t13word43,s104t16word355)	-edge(s104t13word43,s104t17word685)	-edge(s104t13word43,s104t18word686)
edge(s104t14word5,V2)	-edge(s104t14word5,s104t11word92)	-edge(s104t14word5,s104t12word684)	-edge(s104t14word5,s104t13word43)	+edge(s104t14word5,s104t15word484)	-edge(s104t14word5,s104t16word355)	-edge(s104t14word5,s104t17word685)	-edge(s104t14word5,s104t18word686)	-edge(s104t14word5,s104t19word7)
edge(s104t15word484,V2)	-edge(s104t15word484,s104t8word62)	-edge(s104t15word484,s104t9word63)	-edge(s104t15word484,s104t10word26)	-edge(s104t15word484,s104t11word92)	+edge(s104t15word484,s104t12word684)	-edge(s104t15word484,s104t13word43)	-edge(s104t15word484,s104t14word5)	-edge(s104t15word484,s104t16word355)
edge(s104t16word355,V2)	-edge(s104t16word355,s104t7word102)	-edge(s104t16word355,s104t8word62)	-edge(s104t16word355,s104t9word63)	-edge(s104t16word355,s104t10word26)	+edge(s104t16word355,s104t11word92)	-edge(s104t16word355,s104t12word684)	-edge(s104t16word355,s104t13word43)	-edge(s104t16word355,s104t14word5)	-edge(s104t16word355,s104t15word484)
edge(s104t17word685,V2)	-edge(s104t17word685,s104t15word484)	-edge(s104t17word685,s104t16word355)	-edge(s104t17word685,s104t18word686)	+edge(s104t17word685,s104t19word7)	-edge(s104t17word685,s104t20word687)	-edge(s104t17word685,s104t21word686)
edge(s104t18word686,V2)	-edge(s104t18word686,s104t13word43)	-edge(s104t18word686,s104t14word5)	-edge(s104t18word686,s104t15word484)	-edge(s104t18word686,s104t16word355)	+edge(s104t18word686,s104t17word685)	-edge(s104t18word686,s104t19word7)	-edge(s104t18word686,s104t20word687)	-edge(s104t18word686,s104t21word686)
edge(s104t19word7,V2)	-edge(s104t19word7,s104t16word355)	-edge(s104t19word7,s104t17word685)	-edge(s104t19word7,s104t18word686)	+edge(s104t19word7,s104t20word687)	-edge(s104t19word7,s104t21word686)
edge(s104t20word687,V2)	-edge(s104t20word687,s104t12word684)	-edge(s104t20word687,s104t13word43)	-edge(s104t20word687,s104t14word5)	-edge(s104t20word687,s104t15word484)	+edge(s104t20word687,s104t16word355)	-edge(s104t20word687,s104t17word685)	-edge(s104t20word687,s104t18word686)	-edge(s104t20word687,s104t19word7)
edge(s104t21word686,V2)	-edge(s104t21word686,s104t16word355)	-edge(s104t21word686,s104t17word685)	-edge(s104t21word686,s104t18word686)	-edge(s104t21word686,s104t19word7)	+edge(s104t21word686,s104t20word687)
edge(s105t1word57,V2)	-edge(s105t1word57,s105t2word58)	-edge(s105t1word57,s105t3word59)	+edge(s105t1word57,s105t4word447)	-edge(s105t1word57,s105t5word312)	-edge(s105t1word57,s105t6word214)	-edge(s105t1word57,s105t7word43)	-edge(s105t1word57,s105t8word5)
edge(s105t2word58,V2)	-edge(s105t2word58,s105t1word57)	+edge(s105t2word58,s105t3word59)	-edge(s105t2word58,s105t4word447)	-edge(s105t2word58,s105t5word312)	-edge(s105t2word58,s105t6word214)	-edge(s105t2word58,s105t7word43)
edge(s105t3word59,V2)	+edge(s105t3word59,s105t1word57)	-edge(s105t3word59,s105t2word58)	-edge(s105t3word59,s105t4word447)	-edge(s105t3word59,s105t5word312)
edge(s105t4word447,V2)	-edge(s105t4word447,s105t15word160)	-edge(s105t4word447,s105t16word536)	-edge(s105t4word447,s105t17word5)	-edge(s105t4word447,s105t18word12)	+edge(s105t4word447,s105t19word305)	-edge(s105t4word447,s105t20word360)	-edge(s105t4word447,s105t21word689)	-edge(s105t4word447,s105t22word43)	-edge(s105t4word447,s105t23word5)
edge(s105t5word312,V2)	-edge(s105t5word312,s105t2word58)	-edge(s105t5word312,s105t3word59)	-edge(s105t5word312,s105t4word447)	+edge(s105t5word312,s105t6word214)	-edge(s105t5word312,s105t7word43)	-edge(s105t5word312,s105t8word5)	-edge(s105t5word312,s105t9word40)	-edge(s105t5word312,s105t10word688)
edge(s105t6word214,V2)	-edge(s105t6word214,s105t1word57)	-edge(s105t6word214,s105t2word58)	-edge(s105t6word214,s105t3word59)	+edge(s105t6word214,s105t4word447)	-edge(s105t6word214,s105t5word312)	-edge(s105t6word214,s105t7word43)	-edge(s105t6word214,s105t8word5)
edge(s105t7word43,V2)	-edge(s105t7word43,s105t4word447)	-edge(s105t7word43,s105t5word312)	-edge(s105t7word43,s105t6word214)	+edge(s105t7word43,s105t8word5)	-edge(s105t7word43,s105t9word40)	-edge(s105t7word43,s105t10word688)	-edge(s105t7word43,s105t11word43)	-edge(s105t7word43,s105t12word417)
edge(s105t8word5,V2)	-edge(s105t8word5,s105t5word312)	-edge(s105t8word5,s105t6word214)	-edge(s105t8word5,s105t7word43)	+edge(s105t8word5,s105t9word40)	-edge(s105t8word5,s105t10word688)	-edge(s105t8word5,s105t11word43)	-edge(s105t8word5,s105t12word417)	-edge(s105t8word5,s105t13word29)
edge(s105t9word40,V2)	-edge(s105t9word40,s105t2word58)	-edge(s105t9word40,s105t3word59)	-edge(s105t9word40,s105t4word447)	-edge(s105t9word40,s105t5word312)	+edge(s105t9word40,s105t6word214)	-edge(s105t9word40,s105t7word43)	-edge(s105t9word40,s105t8word5)	-edge(s105t9word40,s105t10word688)
edge(s105t10word688,V2)	-edge(s105t10word688,s105t15word160)	-edge(s105t10word688,s105t16word536)	-edge(s105t10word688,s105t17word5)	-edge(s105t10word688,s105t18word12)	+edge(s105t10word688,s105t19word305)	-edge(s105t10word688,s105t20word360)	-edge(s105t10word688,s105t21word689)	-edge(s105t10word688,s105t22word43)	-edge(s105t10word688,s105t23word5)
edge(s105t11word43,V2)	-edge(s105t11word43,s105t8word5)	-edge(s105t11word43,s105t9word40)	-edge(s105t11word43,s105t10word688)	+edge(s105t11word43,s105t12word417)	-edge(s105t11word43,s105t13word29)	-edge(s105t11word43,s105t14word30)	-edge(s105t11word43,s105t15word160)	-edge(s105t11word43,s105t16word536)
edge(s105t12word417,V2)	-edge(s105t12word417,s105t6word214)	-edge(s105t12word417,s105t7word43)	-edge(s105t12word417,s105t8word5)	-edge(s105t12word417,s105t9word40)	+edge(s105t12word417,s105t10word688)	-edge(s105t12word417,s105t11word43)	-edge(s105t12word417,s105t13word29)	-edge(s105t12word417,s105t14word30)
edge(s105t13word29,V2)	-edge(s105t13word29,s105t10word688)	-edge(s105t13word29,s105t11word43)	-edge(s105t13word29,s105t12word417)	+edge(s105t13word29,s105t14word30)	-edge(s105t13word29,s105t15word160)	-edge(s105t13word29,s105t16word536)	-edge(s105t13word29,s105t17word5)	-edge(s105t13word29,s105t18word12)
edge(s105t14word30,V2)	-edge(s105t14word30,s105t11word43)	-edge(s105t14word30,s105t12word417)	-edge(s105t14word30,s105t13word29)	+edge(s105t14word30,s105t15word160)	-edge(s105t14word30,s105t16word536)	-edge(s105t14word30,s105t17word5)	-edge(s105t14word30,s105t18word12)	-edge(s105t14word30,s105t19word305)
edge(s105t15word160,V2)	-edge(s105t15word160,s105t12word417)	-edge(s105t15word160,s105t13word29)	-edge(s105t15word160,s105t14word30)	+edge(s105t15word160,s105t16word536)	-edge(s105t15word160,s105t17word5)	-edge(s105t15word160,s105t18word12)	-edge(s105t15word160,s105t19word305)	-edge(s105t15word160,s105t20word360)
edge(s105t16word536,V2)	-edge(s105t16word536,s105t13word29)	-edge(s105t16word536,s105t14word30)	-edge(s105t16word536,s105t15word160)	+edge(s105t16word536,s105t17word5)	-edge(s105t16word536,s105t18word12)	-edge(s105t16word536,s105t19word305)	-edge(s105t16word536,s105t20word360)	-edge(s105t16word536,s105t21word689)
edge(s105t17word5,V2)	-edge(s105t17word5,s105t14word30)	-edge(s105t17word5,s105t15word160)	-edge(s105t17word5,s105t16word536)	+edge(s105t17word5,s105t18word12)	-edge(s105t17word5,s105t19word305)	-edge(s105t17word5,s105t20word360)	-edge(s105t17word5,s105t21word689)	-edge(s105t17word5,s105t22word43)
edge(s105t18word12,V2)	-edge(s105t18word12,s105t8word5)	-edge(s105t18word12,s105t9word40)	-edge(s105t18word12,s105t10word688)	-edge(s105t18word12,s105t11word43)	+edge(s105t18word12,s105t12word417)	-edge(s105t18word12,s105t13word29)	-edge(s105t18word12,s105t14word30)	-edge(s105t18word12,s105t15word160)	-edge(s105t18word12,s105t16word536)
edge(s105t19word305,V2)	-edge(s105t19word305,s105t21word689)	-edge(s105t19word305,s105t22word43)	-edge(s105t19word305,s105t23word5)	-edge(s105t19word305,s105t24word44)	+edge(s105t19word305,s105t25word28)	-edge(s105t19word305,s105t26word43)	-edge(s105t19word305,s105t27word393)	-edge(s105t19word305,s105t28word26)	-edge(s105t19word305,s105t29word92)
edge(s105t20word360,V2)	-edge(s105t20word360,s105t17word5)	-edge(s105t20word360,s105t18word12)	-edge(s105t20word360,s105t19word305)	+edge(s105t20word360,s105t21word689)	-edge(s105t20word360,s105t22word43)	-edge(s105t20word360,s105t23word5)	-edge(s105t20word360,s105t24word44)	-edge(s105t20word360,s105t25word28)
edge(s105t21word689,V2)	-edge(s105t21word689,s105t15word160)	-edge(s105t21word689,s105t16word536)	-edge(s105t21word689,s105t17word5)	-edge(s105t21word689,s105t18word12)	+edge(s105t21word689,s105t19word305)	-edge(s105t21word689,s105t20word360)	-edge(s105t21word689,s105t22word43)	-edge(s105t21word689,s105t23word5)
edge(s105t22word43,V2)	-edge(s105t22word43,s105t19word305)	-edge(s105t22word43,s105t20word360)	-edge(s105t22word43,s105t21word689)	+edge(s105t22word43,s105t23word5)	-edge(s105t22word43,s105t24word44)	-edge(s105t22word43,s105t25word28)	-edge(s105t22word43,s105t26word43)	-edge(s105t22word43,s105t27word393)
edge(s105t23word5,V2)	-edge(s105t23word5,s105t20word360)	-edge(s105t23word5,s105t21word689)	-edge(s105t23word5,s105t22word43)	+edge(s105t23word5,s105t24word44)	-edge(s105t23word5,s105t25word28)	-edge(s105t23word5,s105t26word43)	-edge(s105t23word5,s105t27word393)	-edge(s105t23word5,s105t28word26)
edge(s105t24word44,V2)	-edge(s105t24word44,s105t17word5)	-edge(s105t24word44,s105t18word12)	-edge(s105t24word44,s105t19word305)	-edge(s105t24word44,s105t20word360)	+edge(s105t24word44,s105t21word689)	-edge(s105t24word44,s105t22word43)	-edge(s105t24word44,s105t23word5)	-edge(s105t24word44,s105t25word28)
edge(s105t25word28,V2)	-edge(s105t25word28,s105t22word43)	-edge(s105t25word28,s105t23word5)	-edge(s105t25word28,s105t24word44)	+edge(s105t25word28,s105t26word43)	-edge(s105t25word28,s105t27word393)	-edge(s105t25word28,s105t28word26)	-edge(s105t25word28,s105t29word92)	-edge(s105t25word28,s105t30word9)
edge(s105t26word43,V2)	-edge(s105t26word43,s105t23word5)	-edge(s105t26word43,s105t24word44)	-edge(s105t26word43,s105t25word28)	+edge(s105t26word43,s105t27word393)	-edge(s105t26word43,s105t28word26)	-edge(s105t26word43,s105t29word92)	-edge(s105t26word43,s105t30word9)	-edge(s105t26word43,s105t31word14)
edge(s105t27word393,V2)	-edge(s105t27word393,s105t24word44)	-edge(s105t27word393,s105t25word28)	-edge(s105t27word393,s105t26word43)	+edge(s105t27word393,s105t28word26)	-edge(s105t27word393,s105t29word92)	-edge(s105t27word393,s105t30word9)	-edge(s105t27word393,s105t31word14)	-edge(s105t27word393,s105t32word690)
edge(s105t28word26,V2)	-edge(s105t28word26,s105t25word28)	-edge(s105t28word26,s105t26word43)	-edge(s105t28word26,s105t27word393)	+edge(s105t28word26,s105t29word92)	-edge(s105t28word26,s105t30word9)	-edge(s105t28word26,s105t31word14)	-edge(s105t28word26,s105t32word690)
edge(s105t29word92,V2)	+edge(s105t29word92,s105t0root)	-edge(s105t29word92,s105t1word57)	-edge(s105t29word92,s105t2word58)	-edge(s105t29word92,s105t3word59)	-edge(s105t29word92,s105t4word447)
edge(s105t30word9,V2)	-edge(s105t30word9,s105t25word28)	-edge(s105t30word9,s105t26word43)	-edge(s105t30word9,s105t27word393)	-edge(s105t30word9,s105t28word26)	+edge(s105t30word9,s105t29word92)	-edge(s105t30word9,s105t31word14)	-edge(s105t30word9,s105t32word690)
edge(s105t31word14,V2)	-edge(s105t31word14,s105t28word26)	-edge(s105t31word14,s105t29word92)	-edge(s105t31word14,s105t30word9)	+edge(s105t31word14,s105t32word690)
edge(s105t32word690,V2)	-edge(s105t32word690,s105t26word43)	-edge(s105t32word690,s105t27word393)	-edge(s105t32word690,s105t28word26)	-edge(s105t32word690,s105t29word92)	+edge(s105t32word690,s105t30word9)	-edge(s105t32word690,s105t31word14)
edge(s106t1word355,V2)	+edge(s106t1word355,s106t2word95)	-edge(s106t1word355,s106t3word691)	-edge(s106t1word355,s106t4word228)	-edge(s106t1word355,s106t5word178)	-edge(s106t1word355,s106t6word43)
edge(s106t2word95,V2)	-edge(s106t2word95,s106t1word355)	+edge(s106t2word95,s106t3word691)	-edge(s106t2word95,s106t4word228)	-edge(s106t2word95,s106t5word178)	-edge(s106t2word95,s106t6word43)	-edge(s106t2word95,s106t7word278)
edge(s106t3word691,V2)	+edge(s106t3word691,s106t0root)	-edge(s106t3word691,s106t1word355)	-edge(s106t3word691,s106t2word95)	-edge(s106t3word691,s106t4word228)
edge(s106t4word228,V2)	-edge(s106t4word228,s106t1word355)	-edge(s106t4word228,s106t2word95)	+edge(s106t4word228,s106t3word691)	-edge(s106t4word228,s106t5word178)	-edge(s106t4word228,s106t6word43)	-edge(s106t4word228,s106t7word278)
edge(s106t5word178,V2)	-edge(s106t5word178,s106t1word355)	-edge(s106t5word178,s106t2word95)	-edge(s106t5word178,s106t3word691)	+edge(s106t5word178,s106t4word228)	-edge(s106t5word178,s106t6word43)	-edge(s106t5word178,s106t7word278)	-edge(s106t5word178,s106t8word692)
edge(s106t6word43,V2)	-edge(s106t6word43,s106t3word691)	-edge(s106t6word43,s106t4word228)	-edge(s106t6word43,s106t5word178)	+edge(s106t6word43,s106t7word278)	-edge(s106t6word43,s106t8word692)	-edge(s106t6word43,s106t9word254)	-edge(s106t6word43,s106t10word5)	-edge(s106t6word43,s106t11word12)
edge(s106t7word278,V2)	-edge(s106t7word278,s106t8word692)	-edge(s106t7word278,s106t9word254)	-edge(s106t7word278,s106t10word5)	-edge(s106t7word278,s106t11word12)	+edge(s106t7word278,s106t12word174)	-edge(s106t7word278,s106t13word8)	-edge(s106t7word278,s106t14word648)	-edge(s106t7word278,s106t15word43)	-edge(s106t7word278,s106t16word5)
edge(s106t8word692,V2)	-edge(s106t8word692,s106t6word43)	-edge(s106t8word692,s106t7word278)	-edge(s106t8word692,s106t9word254)	+edge(s106t8word692,s106t10word5)	-edge(s106t8word692,s106t11word12)	-edge(s106t8word692,s106t12word174)	-edge(s106t8word692,s106t13word8)	-edge(s106t8word692,s106t14word648)
edge(s106t9word254,V2)	-edge(s106t9word254,s106t4word228)	-edge(s106t9word254,s106t5word178)	-edge(s106t9word254,s106t6word43)	-edge(s106t9word254,s106t7word278)	+edge(s106t9word254,s106t8word692)	-edge(s106t9word254,s106t10word5)	-edge(s106t9word254,s106t11word12)	-edge(s106t9word254,s106t12word174)
edge(s106t10word5,V2)	-edge(s106t10word5,s106t7word278)	-edge(s106t10word5,s106t8word692)	-edge(s106t10word5,s106t9word254)	+edge(s106t10word5,s106t11word12)	-edge(s106t10word5,s106t12word174)	-edge(s106t10word5,s106t13word8)	-edge(s106t10word5,s106t14word648)	-edge(s106t10word5,s106t15word43)
edge(s106t11word12,V2)	-edge(s106t11word12,s106t3word691)	-edge(s106t11word12,s106t4word228)	-edge(s106t11word12,s106t5word178)	-edge(s106t11word12,s106t6word43)	+edge(s106t11word12,s106t7word278)	-edge(s106t11word12,s106t8word692)	-edge(s106t11word12,s106t9word254)	-edge(s106t11word12,s106t10word5)
edge(s106t12word174,V2)	-edge(s106t12word174,s106t9word254)	-edge(s106t12word174,s106t10word5)	-edge(s106t12word174,s106t11word12)	+edge(s106t12word174,s106t13word8)	-edge(s106t12word174,s106t14word648)	-edge(s106t12word174,s106t15word43)	-edge(s106t12word174,s106t16word5)	-edge(s106t12word174,s106t17word12)
edge(s106t13word8,V2)	-edge(s106t13word8,s106t1word355)	-edge(s106t13word8,s106t2word95)	-edge(s106t13word8,s106t3word691)	-edge(s106t13word8,s106t4word228)	+edge(s106t13word8,s106t5word178)	-edge(s106t13word8,s106t6word43)	-edge(s106t13word8,s106t7word278)	-edge(s106t13word8,s106t8word692)	-edge(s106t13word8,s106t9word254)
edge(s106t14word648,V2)	-edge(s106t14word648,s106t12word174)	-edge(s106t14word648,s106t13word8)	-edge(s106t14word648,s106t15word43)	+edge(s106t14word648,s106t16word5)	-edge(s106t14word648,s106t17word12)	-edge(s106t14word648,s106t18word693)	-edge(s106t14word648,s106t19word295)	-edge(s106t14word648,s106t20word575)
edge(s106t15word43,V2)	-edge(s106t15word43,s106t10word5)	-edge(s106t15word43,s106t11word12)	-edge(s106t15word43,s106t12word174)	-edge(s106t15word43,s106t13word8)	+edge(s106t15word43,s106t14word648)	-edge(s106t15word43,s106t16word5)	-edge(s106t15word43,s106t17word12)	-edge(s106t15word43,s106t18word693)
edge(s106t16word5,V2)	-edge(s106t16word5,s106t13word8)	-edge(s106t16word5,s106t14word648)	-edge(s106t16word5,s106t15word43)	+edge(s106t16word5,s106t17word12)	-edge(s106t16word5,s106t18word693)	-edge(s106t16word5,s106t19word295)	-edge(s106t16word5,s106t20word575)	-edge(s106t16word5,s106t21word43)
edge(s106t17word12,V2)	-edge(s106t17word12,s106t9word254)	-edge(s106t17word12,s106t10word5)	-edge(s106t17word12,s106t11word12)	-edge(s106t17word12,s106t12word174)	+edge(s106t17word12,s106t13word8)	-edge(s106t17word12,s106t14word648)	-edge(s106t17word12,s106t15word43)	-edge(s106t17word12,s106t16word5)
